date,open,high,low,close,volume,average,barCount
2025-10-21 12:37:00-04:00,448.8,448.99,448.7,448.96,65387.0,448.883,317
2025-10-21 12:38:00-04:00,448.95,448.99,448.4,448.47,83323.0,448.669,431
2025-10-21 12:39:00-04:00,448.5,448.72,448.4,448.51,49470.0,448.586,246
2025-10-21 12:40:00-04:00,448.54,448.64,448.27,448.29,49111.0,448.444,246
2025-10-21 12:41:00-04:00,448.31,448.33,447.67,447.83,97783.0,447.966,478
2025-10-21 12:42:00-04:00,447.83,447.87,447.61,447.68,61935.0,447.718,289
2025-10-21 12:43:00-04:00,447.66,448.1,447.53,447.84,92429.0,447.833,416
2025-10-21 12:44:00-04:00,447.84,448.12,447.78,447.8,60814.0,447.973,255
2025-10-21 12:45:00-04:00,447.81,447.86,447.64,447.69,39355.0,447.73,190
2025-10-21 12:46:00-04:00,447.74,447.94,447.61,447.68,39420.0,447.735,216
2025-10-21 12:47:00-04:00,447.72,448.05,447.71,448.03,52034.0,447.912,243
2025-10-21 12:48:00-04:00,448.03,448.16,447.8,447.89,47898.0,448.011,286
2025-10-21 12:49:00-04:00,447.9,448.1,447.82,447.97,37348.0,447.96,195
2025-10-21 12:50:00-04:00,447.98,448.48,447.96,448.34,74272.0,448.316,341
2025-10-21 12:51:00-04:00,448.33,448.5,447.66,447.76,65751.0,448.082,315
2025-10-21 12:52:00-04:00,447.71,447.84,446.37,446.55,159804.0,446.984,769
2025-10-21 12:53:00-04:00,446.54,446.91,446.07,446.59,119378.0,446.454,597
2025-10-21 12:54:00-04:00,446.63,446.7,446.23,446.44,68886.0,446.485,313
2025-10-21 12:55:00-04:00,446.5,446.85,446.16,446.33,96310.0,446.474,430
2025-10-21 12:56:00-04:00,446.37,446.64,445.87,446.1,112877.0,446.19,458
2025-10-21 12:57:00-04:00,446.04,446.2,445.73,445.88,89427.0,445.949,414
2025-10-21 12:58:00-04:00,445.88,446.15,445.74,446.12,77229.0,445.979,347
2025-10-21 12:59:00-04:00,446.01,446.25,445.53,446.14,127722.0,445.932,537
2025-10-21 13:00:00-04:00,446.18,446.25,445.81,446.05,55608.0,446.028,289
2025-10-21 13:01:00-04:00,446.03,446.03,445.35,445.79,88055.0,445.731,420
2025-10-21 13:02:00-04:00,445.79,446.09,445.58,446.02,63982.0,445.849,306
2025-10-21 13:03:00-04:00,445.91,446.2,445.76,446.03,74311.0,445.988,394
2025-10-21 13:04:00-04:00,446.04,446.49,445.98,446.44,91771.0,446.267,468
2025-10-21 13:05:00-04:00,446.46,446.62,446.24,446.42,107424.0,446.449,486
2025-10-21 13:06:00-04:00,446.42,446.92,446.3,446.75,103061.0,446.74,439
2025-10-21 13:07:00-04:00,446.79,447.16,446.75,446.93,92284.0,446.959,392
2025-10-21 13:08:00-04:00,446.92,447.47,446.91,447.06,102359.0,447.224,464
2025-10-21 13:09:00-04:00,447.1,447.3,446.96,447.2,50746.0,447.096,236
2025-10-21 13:10:00-04:00,447.25,447.37,447.0,447.23,49813.0,447.207,284
2025-10-21 13:11:00-04:00,447.25,447.4,447.1,447.4,62979.0,447.248,315
2025-10-21 13:12:00-04:00,447.4,447.48,447.01,447.09,75283.0,447.301,380
2025-10-21 13:13:00-04:00,447.15,447.17,446.7,447.03,68998.0,446.908,357
2025-10-21 13:14:00-04:00,446.99,447.42,446.99,447.18,83221.0,447.301,345
2025-10-21 13:15:00-04:00,447.22,447.37,446.7,446.84,69283.0,446.931,321
2025-10-21 13:16:00-04:00,446.79,447.05,446.6,446.85,48977.0,446.826,251
2025-10-21 13:17:00-04:00,446.86,446.93,446.3,446.37,64440.0,446.609,335
2025-10-21 13:18:00-04:00,446.42,446.47,445.81,445.89,83357.0,446.136,451
2025-10-21 13:19:00-04:00,445.84,445.94,445.4,445.42,91354.0,445.588,478
2025-10-21 13:20:00-04:00,445.5,445.92,445.29,445.8,101270.0,445.633,497
2025-10-21 13:21:00-04:00,445.84,445.94,445.36,445.41,105288.0,445.579,384
2025-10-21 13:22:00-04:00,445.38,445.43,444.84,444.89,130867.0,445.13,626
2025-10-21 13:23:00-04:00,444.88,445.53,444.75,445.42,107663.0,445.21,493
2025-10-21 13:24:00-04:00,445.43,445.7,445.2,445.37,76211.0,445.484,324
2025-10-21 13:25:00-04:00,445.44,445.65,445.31,445.54,67075.0,445.457,348
2025-10-21 13:26:00-04:00,445.47,445.64,445.3,445.4,40205.0,445.44,237
2025-10-21 13:27:00-04:00,445.42,445.55,445.13,445.27,58390.0,445.267,297
2025-10-21 13:28:00-04:00,445.28,445.55,445.25,445.42,44594.0,445.413,234
2025-10-21 13:29:00-04:00,445.34,445.78,445.28,445.7,82972.0,445.54,343
2025-10-21 13:30:00-04:00,445.72,445.99,445.6,445.75,74214.0,445.808,340
2025-10-21 13:31:00-04:00,445.85,446.02,445.7,445.75,79355.0,445.869,363
2025-10-21 13:32:00-04:00,445.81,445.96,445.46,445.52,49261.0,445.678,294
2025-10-21 13:33:00-04:00,445.54,445.63,445.23,445.54,83555.0,445.45,376
2025-10-21 13:34:00-04:00,445.54,445.86,445.52,445.74,41890.0,445.723,219
2025-10-21 13:35:00-04:00,445.71,445.76,445.33,445.34,50972.0,445.489,218
2025-10-21 13:36:00-04:00,445.39,445.57,445.18,445.35,49077.0,445.329,216
2025-10-21 13:37:00-04:00,445.36,445.47,445.15,445.17,50050.0,445.257,194
2025-10-21 13:38:00-04:00,445.17,445.57,445.0,445.45,81366.0,445.246,380
